season,day_div,holiday,°C,humidity,solar_rad,wind_speed,visibility,rain/snow,rented_bike
Winter,madrugada,0,-5.6,56,0.0,1.0,1367,0,103
Winter,madrugada,0,-5.9,61,0.0,1.1,1260,0,61
Winter,madrugada,0,-6.1,64,0.0,1.0,1231,0,48
Winter,madrugada,0,-6.5,67,0.0,0.7,1175,0,69
Winter,mañana,0,-6.6,65,0.0,1.0,1320,0,105
Winter,mañana,0,-6.5,62,0.0,1.1,1503,0,186
Winter,mañana,0,-5.8,49,0.16,1.4,1728,0,221
Winter,mañana,0,-3.5,39,0.54,2.0,1946,0,204
Winter,mañana,0,-1.6,35,0.87,2.1,1812,0,245
Winter,mañana,0,0.0,35,1.07,2.3,1672,0,283
Winter,tarde,0,0.9,28,1.18,2.4,1895,0,356
Winter,tarde,0,1.8,29,1.14,2.0,1693,0,370
Winter,tarde,0,2.3,27,0.92,2.2,1877,0,373
Winter,tarde,0,2.7,27,0.64,2.2,1811,0,352
Winter,tarde,0,1.1,31,0.26,1.7,1989,0,354
Winter,tarde,0,-0.6,37,0.01,1.6,1797,0,271
Winter,noche,0,-1.2,37,0.0,1.2,1663,0,207
Winter,noche,0,-2.1,41,0.0,1.1,1578,0,189
Winter,noche,0,-2.5,47,0.0,0.8,1495,0,214
Winter,noche,0,-2.6,47,0.0,1.6,1492,0,218
Winter,noche,0,-3.2,50,0.0,0.8,1429,0,169
Winter,madrugada,0,-3.8,48,0.0,0.7,1574,0,192
Winter,madrugada,0,-3.9,51,0.0,0.2,1535,0,162
Winter,madrugada,0,-4.4,53,0.0,0.3,1594,0,128
Winter,madrugada,0,-4.8,56,0.0,0.6,1505,0,102
Winter,madrugada,0,-5.1,60,0.0,0.7,1377,0,62
Winter,madrugada,0,-5.6,58,0.0,0.7,1350,0,40
Winter,madrugada,0,-5.5,52,0.0,0.7,1503,0,38
Winter,mañana,0,-5.6,58,0.0,0.9,1368,0,60
Winter,mañana,0,-5.3,53,0.0,1.1,1411,0,122
Winter,mañana,0,-3.8,49,0.18,1.6,1371,0,143
Winter,mañana,0,-1.8,40,0.48,1.8,1555,0,179
Winter,mañana,0,0.5,35,0.75,1.4,1558,0,214
Winter,mañana,0,1.1,34,0.6,0.9,1455,0,278
Winter,tarde,0,1.4,34,0.5,0.8,1394,0,265
Winter,tarde,0,1.9,32,0.41,0.7,1368,0,331
Winter,tarde,0,2.7,31,0.43,0.9,1603,0,368
Winter,tarde,0,2.6,32,0.27,1.0,1381,0,333
Winter,tarde,0,2.3,33,0.13,0.2,1515,0,349
Winter,tarde,0,1.8,34,0.0,1.2,1518,0,270
Winter,noche,0,1.6,35,0.0,1.0,1419,0,246
Winter,noche,0,1.3,38,0.0,0.4,1386,0,233
Winter,noche,0,1.2,39,0.0,0.6,1378,0,236
Winter,noche,0,1.1,40,0.0,0.5,1305,0,214
Winter,noche,0,1.1,39,0.0,0.6,1422,0,149
Winter,madrugada,0,0.9,42,0.0,1.1,1271,0,149
Winter,madrugada,0,0.9,42,0.0,0.2,1333,0,109
Winter,madrugada,0,0.8,42,0.0,0.5,1275,0,77
Winter,madrugada,0,0.9,43,0.0,0.4,1261,0,53
Winter,madrugada,0,1.0,43,0.0,0.8,1253,0,46
Winter,madrugada,0,0.8,42,0.0,1.0,1394,0,67
Winter,madrugada,0,0.8,45,0.0,0.7,1268,0,159
Winter,mañana,0,0.7,44,0.0,0.8,1357,0,374
Winter,mañana,0,0.7,45,0.0,0.7,1339,0,701
Winter,mañana,0,0.8,47,0.05,0.9,1070,0,387
Winter,mañana,0,1.3,43,0.16,0.8,971,0,253
Winter,mañana,0,1.7,37,0.23,0.6,1062,0,278
Winter,mañana,0,2.7,33,0.6,2.7,1281,0,356
Winter,tarde,0,3.0,32,0.38,1.6,1518,0,303
Winter,tarde,0,3.4,31,0.36,1.4,1267,0,349
Winter,tarde,0,3.9,33,0.39,1.8,1293,0,318
Winter,tarde,0,3.5,36,0.16,1.7,1702,0,353
Winter,tarde,0,2.7,50,0.06,2.8,1957,0,385
Winter,tarde,0,1.5,70,0.0,2.5,638,0,316
Winter,noche,0,0.9,88,0.0,1.6,290,1,127
Winter,noche,0,1.0,89,0.0,1.9,407,1,144
Winter,noche,0,0.7,77,0.0,6.7,692,1,146
Winter,noche,0,0.1,68,0.0,4.6,740,1,149
Winter,noche,0,-0.6,62,0.0,4.2,936,1,112
Winter,madrugada,0,-1.2,67,0.0,4.6,983,1,100
Winter,madrugada,0,-1.9,69,0.0,5.0,791,1,107
Winter,madrugada,0,-2.9,66,0.0,3.3,1515,1,75
Winter,madrugada,0,-3.4,67,0.0,3.2,1420,1,52
Winter,madrugada,0,-4.3,59,0.0,4.4,1451,1,38
Winter,madrugada,0,-5.1,48,0.0,3.2,1821,1,52
Winter,madrugada,0,-5.6,52,0.0,3.7,1785,1,126
Winter,mañana,0,-5.9,57,0.0,3.1,1686,1,245
Winter,mañana,0,-6.0,64,0.0,3.2,1384,1,554
Winter,mañana,0,-6.0,61,0.13,2.5,1547,1,320
Winter,mañana,0,-4.8,57,0.47,3.0,1559,1,190
Winter,mañana,0,-3.9,51,0.73,4.5,1746,1,247
Winter,mañana,0,-2.7,45,1.05,2.4,1707,1,262
Winter,tarde,0,-2.6,45,1.11,4.0,1663,1,265
Winter,tarde,0,-1.8,45,1.06,3.7,1922,1,265
Winter,tarde,0,-2.4,51,0.46,4.6,1458,0,257
Winter,tarde,0,-2.4,56,0.35,3.3,1541,0,262
Winter,tarde,0,-2.9,66,0.23,3.6,743,0,332
Winter,tarde,0,-3.8,58,0.01,1.7,1996,0,558
Winter,noche,0,-4.5,57,0.0,0.6,2000,0,364
Winter,noche,0,-4.9,59,0.0,0.6,1992,0,302
Winter,noche,0,-4.8,59,0.0,0.9,2000,0,281
Winter,noche,0,-4.2,67,0.0,1.6,503,0,166
Winter,noche,0,-4.9,80,0.0,0.7,690,1,80
Winter,madrugada,0,-5.2,82,0.0,0.8,152,1,61
Winter,madrugada,0,-5.6,75,0.0,1.7,1982,1,78
Winter,madrugada,0,-5.7,72,0.0,1.2,1925,1,63
Winter,madrugada,0,-6.1,70,0.0,1.1,2000,1,40
Winter,madrugada,0,-6.6,72,0.0,2.2,2000,1,31
Winter,madrugada,0,-7.3,75,0.0,1.6,2000,1,39
Winter,madrugada,0,-7.7,74,0.0,1.1,2000,1,84
Winter,mañana,0,-8.0,70,0.0,1.8,2000,1,158
Winter,mañana,0,-7.9,67,0.0,2.6,1896,1,387
Winter,mañana,0,-7.7,62,0.13,3.6,1637,1,225
Winter,mañana,0,-6.9,53,0.52,3.2,1576,1,150
Winter,mañana,0,-6.4,49,0.86,4.5,1759,1,168
Winter,mañana,0,-5.6,44,1.1,4.5,1830,1,217
Winter,tarde,0,-5.1,43,1.18,4.7,1901,1,207
Winter,tarde,0,-5.3,37,1.05,5.3,2000,1,177
Winter,tarde,0,-5.3,33,0.99,4.8,2000,1,193
Winter,tarde,0,-5.4,30,0.69,3.9,2000,1,196
Winter,tarde,0,-6.5,34,0.31,4.0,2000,0,266
Winter,tarde,0,-7.8,32,0.02,4.5,2000,0,437
Winter,noche,0,-8.5,35,0.0,2.9,2000,0,259
Winter,noche,0,-8.9,41,0.0,2.3,2000,0,207
Winter,noche,0,-9.4,47,0.0,2.0,2000,0,214
Winter,noche,0,-9.7,51,0.0,2.8,2000,0,165
Winter,noche,0,-10.2,53,0.0,3.3,1997,0,139
Winter,madrugada,0,-10.3,54,0.0,2.4,1988,0,98
Winter,madrugada,0,-10.6,55,0.0,2.9,1987,0,100
Winter,madrugada,0,-10.9,57,0.0,2.7,1900,0,89
Winter,madrugada,0,-11.2,59,0.0,2.9,1872,0,38
Winter,madrugada,0,-11.5,57,0.0,2.3,1899,0,33
Winter,madrugada,0,-11.9,61,0.0,1.8,1759,0,42
Winter,madrugada,0,-12.0,61,0.0,2.3,1709,0,82
Winter,mañana,0,-12.3,59,0.0,2.3,1738,0,203
Winter,mañana,0,-12.6,61,0.0,1.6,1610,0,443
Winter,mañana,0,-12.0,53,0.16,2.6,1781,0,227
Winter,mañana,0,-11.1,46,0.48,3.7,1638,0,152
Winter,mañana,0,-10.2,41,0.84,3.5,1629,0,146
Winter,mañana,0,-8.6,40,1.11,2.6,1700,0,187
Winter,tarde,0,-8.6,41,1.2,3.4,1593,0,178
Winter,tarde,0,-7.4,38,1.15,3.3,1718,0,187
Winter,tarde,0,-8.3,42,0.93,3.8,1745,0,181
Winter,tarde,0,-8.2,39,0.63,2.8,1807,0,179
Winter,tarde,0,-9.3,43,0.28,2.8,1900,0,219
Winter,tarde,0,-10.4,43,0.02,2.3,1985,0,352
Winter,noche,0,-10.9,44,0.0,3.0,2000,0,251
Winter,noche,0,-11.6,49,0.0,1.8,1953,0,177
Winter,noche,0,-12.4,51,0.0,2.2,1992,0,162
Winter,noche,0,-12.9,52,0.0,2.8,2000,0,172
Winter,noche,0,-13.2,51,0.0,1.5,1972,0,119
Winter,madrugada,0,-13.6,49,0.0,1.6,2000,0,105
Winter,madrugada,0,-13.7,47,0.0,3.0,2000,0,99
Winter,madrugada,0,-13.8,43,0.0,2.6,2000,0,83
Winter,madrugada,0,-14.1,45,0.0,1.8,2000,0,42
Winter,madrugada,0,-14.3,45,0.0,2.0,2000,0,30
Winter,madrugada,0,-14.6,45,0.0,1.1,2000,0,35
Winter,madrugada,0,-14.9,45,0.0,2.3,2000,0,92
Winter,mañana,0,-15.1,45,0.0,0.9,2000,0,189
Winter,mañana,0,-15.1,44,0.0,1.2,2000,0,419
Winter,mañana,0,-14.9,40,0.16,1.2,1999,0,196
Winter,mañana,0,-13.0,37,0.59,2.2,1960,0,119
Winter,mañana,0,-11.2,31,0.94,2.4,1944,0,140
Winter,mañana,0,-9.6,27,1.17,2.0,1945,0,178
Winter,tarde,0,-8.2,29,1.19,2.0,1920,0,177
Winter,tarde,0,-7.2,28,1.14,2.3,1990,0,173
Winter,tarde,0,-6.5,26,0.96,2.4,1987,0,177
Winter,tarde,0,-5.8,21,0.66,1.1,2000,0,196
Winter,tarde,0,-6.5,22,0.28,1.5,2000,0,259
Winter,tarde,0,-7.5,28,0.02,2.0,2000,0,405
Winter,noche,0,-8.2,32,0.0,1.1,2000,0,273
Winter,noche,0,-7.9,31,0.0,1.4,2000,0,210
Winter,noche,0,-7.4,33,0.0,1.4,2000,0,184
Winter,noche,0,-6.9,39,0.0,1.6,2000,0,186
Winter,noche,0,-6.7,36,0.0,1.3,1821,0,144
Winter,madrugada,0,-6.6,39,0.0,1.6,1930,0,152
Winter,madrugada,0,-6.5,45,0.0,0.5,1964,0,168
Winter,madrugada,0,-6.4,40,0.0,0.9,2000,0,145
Winter,madrugada,0,-6.5,42,0.0,0.7,1996,0,77
Winter,madrugada,0,-6.4,46,0.0,0.8,1993,0,47
Winter,madrugada,0,-6.3,51,0.0,0.8,2000,0,40
Winter,madrugada,0,-6.4,59,0.0,0.6,887,0,42
Winter,mañana,0,-6.5,68,0.0,0.6,571,0,43
Winter,mañana,0,-6.5,72,0.0,0.8,670,1,67
Winter,mañana,0,-6.3,76,0.05,0.6,330,1,102
Winter,mañana,0,-5.5,72,0.29,0.7,1354,1,106
Winter,mañana,0,-4.8,70,0.21,1.0,1244,1,133
Winter,mañana,0,-3.7,66,0.45,1.1,1140,1,174
Winter,tarde,0,-2.5,62,0.66,1.4,1087,0,212
Winter,tarde,0,-1.8,62,0.55,0.7,936,0,215
Winter,tarde,0,-1.5,62,0.28,0.9,957,0,251
Winter,tarde,0,-1.2,63,0.19,0.9,876,0,249
Winter,tarde,0,-1.4,68,0.11,1.0,761,0,277
Winter,tarde,0,-2.6,73,0.01,1.0,684,0,223
Winter,noche,0,-3.3,76,0.0,0.8,633,0,167
Winter,noche,0,-3.9,78,0.0,1.1,596,0,158
Winter,noche,0,-4.1,79,0.0,0.7,522,0,156
Winter,noche,0,-4.3,81,0.0,0.4,435,0,168
Winter,noche,0,-4.4,81,0.0,0.7,420,0,131
Winter,madrugada,0,-4.4,81,0.0,0.7,414,0,149
Winter,madrugada,0,-3.7,79,0.0,0.9,438,0,150
Winter,madrugada,0,-3.5,78,0.0,1.0,444,0,111
Winter,madrugada,0,-3.6,78,0.0,1.6,471,0,79
Winter,madrugada,0,-4.0,79,0.0,1.2,453,0,48
Winter,madrugada,0,-4.2,79,0.0,1.2,442,0,29
Winter,madrugada,0,-4.3,79,0.0,1.1,433,0,49
Winter,mañana,0,-4.4,80,0.0,1.4,411,0,59
Winter,mañana,0,-3.8,79,0.0,0.8,412,0,81
Winter,mañana,0,-3.4,77,0.12,1.6,432,0,118
Winter,mañana,0,-2.1,72,0.34,1.7,489,0,134
Winter,mañana,0,-0.5,64,0.49,0.7,537,0,174
Winter,mañana,0,1.2,58,0.74,0.8,550,0,226
Winter,tarde,0,3.0,52,0.9,1.4,568,0,272
Winter,tarde,0,3.7,53,0.74,0.6,592,0,304
Winter,tarde,0,4.6,50,0.62,0.9,824,0,353
Winter,tarde,0,5.3,49,0.43,1.8,982,0,366
Winter,tarde,0,4.5,51,0.17,1.1,1244,0,302
Winter,tarde,0,4.1,53,0.0,1.3,1132,0,250
Winter,noche,0,3.9,54,0.0,1.1,1102,0,208
Winter,noche,0,3.5,55,0.0,1.0,1100,0,210
Winter,noche,0,3.1,58,0.0,0.4,936,0,213
Winter,noche,0,2.8,60,0.0,0.6,829,0,196
Winter,noche,0,2.7,60,0.0,0.6,794,0,144
Winter,madrugada,0,3.0,60,0.0,0.5,842,0,171
Winter,madrugada,0,3.0,62,0.0,0.9,835,0,122
Winter,madrugada,0,3.6,65,0.0,0.9,959,0,74
Winter,madrugada,0,4.4,70,0.0,1.7,928,0,58
Winter,madrugada,0,4.9,73,0.0,1.8,881,0,38
Winter,madrugada,0,5.0,76,0.0,1.9,808,0,55
Winter,madrugada,0,4.9,83,0.0,3.0,582,0,82
Winter,mañana,0,4.4,87,0.0,1.0,357,0,209
Winter,mañana,0,4.1,85,0.0,1.1,470,0,444
Winter,mañana,0,3.9,86,0.11,1.7,399,1,303
Winter,mañana,0,4.2,82,0.22,2.2,560,0,212
Winter,mañana,0,4.7,75,0.54,2.3,533,0,254
Winter,mañana,0,6.2,64,0.79,1.9,549,0,311
Winter,tarde,0,6.1,61,0.91,2.3,534,0,309
Winter,tarde,0,7.1,52,0.76,2.1,646,0,306
Winter,tarde,0,7.4,38,0.63,1.7,817,0,349
Winter,tarde,0,7.5,37,0.48,0.9,813,0,365
Winter,tarde,0,6.5,40,0.23,0.8,804,0,455
Winter,tarde,0,5.2,44,0.0,1.3,647,0,555
Winter,noche,0,4.4,53,0.0,1.2,538,0,444
Winter,noche,0,3.7,58,0.0,1.3,474,0,321
Winter,noche,0,3.4,59,0.0,0.8,471,0,334
Winter,noche,0,3.0,61,0.0,1.6,460,0,333
Winter,noche,0,2.4,63,0.0,0.6,443,0,230
Winter,madrugada,0,1.8,67,0.0,1.2,387,0,212
Winter,madrugada,0,1.2,64,0.0,0.7,455,0,207
Winter,madrugada,0,0.5,72,0.0,0.7,385,0,141
Winter,madrugada,0,0.3,70,0.0,0.6,438,0,81
Winter,madrugada,0,0.8,65,0.0,0.7,502,0,51
Winter,madrugada,0,1.1,64,0.0,0.5,505,0,58
Winter,madrugada,0,1.2,69,0.0,0.6,436,0,140
Winter,mañana,0,1.1,69,0.0,0.6,418,0,318
Winter,mañana,0,1.2,68,0.0,0.6,411,0,650
Winter,mañana,0,1.9,65,0.06,0.8,402,0,376
Winter,mañana,0,2.7,60,0.18,0.5,392,0,221
Winter,mañana,0,3.9,57,0.28,0.8,363,0,256
Winter,mañana,0,5.2,52,0.45,1.2,349,0,276
Winter,tarde,0,5.8,47,0.53,0.8,382,0,296
Winter,tarde,0,6.5,43,0.52,0.8,468,0,276
Winter,tarde,0,6.3,40,0.19,0.3,498,0,250
Winter,tarde,0,5.8,50,0.11,0.9,547,0,277
Winter,tarde,0,5.2,58,0.08,0.8,462,0,381
Winter,tarde,0,4.9,59,0.0,1.4,427,0,592
Winter,noche,0,4.6,57,0.0,1.0,432,0,409
Winter,noche,0,4.5,58,0.0,0.8,383,0,332
Winter,noche,0,4.3,56,0.0,0.7,434,0,342
Winter,noche,0,4.0,57,0.0,0.3,430,0,321
Winter,noche,0,3.9,60,0.0,0.9,379,0,242
Winter,madrugada,0,3.5,62,0.0,0.4,382,0,204
Winter,madrugada,0,3.3,64,0.0,0.4,339,0,183
Winter,madrugada,0,3.1,65,0.0,0.8,310,0,140
Winter,madrugada,0,3.0,67,0.0,0.8,297,0,75
Winter,madrugada,0,3.0,68,0.0,0.5,322,0,55
Winter,madrugada,0,2.9,66,0.0,0.8,325,0,72
Winter,madrugada,0,2.7,71,0.0,1.1,270,0,115
Winter,mañana,0,2.5,71,0.0,0.9,289,0,272
Winter,mañana,0,2.6,70,0.0,0.6,296,0,537
Winter,mañana,0,3.0,66,0.12,0.7,306,0,337
Winter,mañana,0,4.3,58,0.23,0.5,401,0,212
Winter,mañana,0,6.0,51,0.55,1.0,436,0,270
Winter,mañana,0,8.1,51,0.75,1.4,367,0,310
Winter,tarde,0,8.0,54,0.57,1.8,435,0,273
Winter,tarde,0,7.7,54,0.58,2.6,313,0,258
Winter,tarde,0,8.5,49,0.73,1.3,400,0,278
Winter,tarde,0,8.3,54,0.44,1.2,330,0,314
Winter,tarde,0,7.2,57,0.19,3.3,342,0,380
Winter,tarde,0,5.2,62,0.01,2.9,503,0,501
Winter,noche,0,4.2,68,0.0,2.4,446,0,360
Winter,noche,0,3.5,72,0.0,1.7,361,0,286
Winter,noche,0,3.1,74,0.0,1.1,333,0,320
Winter,noche,0,2.8,74,0.0,0.5,309,0,313
Winter,noche,0,2.7,74,0.0,0.8,291,0,227
Winter,madrugada,0,2.7,73,0.0,1.0,290,0,215
Winter,madrugada,0,3.2,72,0.0,1.9,306,0,190
Winter,madrugada,0,3.3,73,0.0,1.2,288,0,137
Winter,madrugada,0,3.6,74,0.0,1.7,273,0,95
Winter,madrugada,0,3.3,80,0.0,2.1,232,0,50
Winter,madrugada,0,2.6,82,0.0,2.0,229,0,68
Winter,madrugada,0,2.2,82,0.0,2.0,211,0,107
Winter,mañana,0,1.5,86,0.0,1.1,189,0,279
Winter,mañana,0,1.1,86,0.0,1.2,197,0,537
Winter,mañana,0,1.2,84,0.07,2.1,210,0,305
Winter,mañana,0,1.4,81,0.21,2.1,255,0,188
Winter,mañana,0,1.8,75,0.35,1.8,301,0,261
Winter,mañana,0,2.5,72,0.0,2.4,256,0,267
Winter,tarde,0,3.5,54,0.68,3.2,463,0,307
Winter,tarde,0,4.4,42,0.72,2.3,719,0,301
Winter,tarde,0,4.2,36,0.57,2.3,957,0,269
Winter,tarde,0,3.6,42,0.29,2.4,883,0,328
Winter,tarde,0,2.8,46,0.14,2.1,858,0,416
Winter,tarde,0,2.0,39,0.01,2.1,1259,0,506
Winter,noche,0,1.5,41,0.0,1.0,1210,0,365
Winter,noche,0,1.1,44,0.0,1.2,1171,0,303
Winter,noche,0,0.8,45,0.0,1.5,1184,0,339
Winter,noche,0,0.7,45,0.0,2.0,1084,0,318
Winter,noche,0,0.6,47,0.0,2.3,1046,0,232
Winter,madrugada,0,0.3,45,0.0,1.8,1154,0,211
Winter,madrugada,0,0.0,43,0.0,1.7,1250,0,207
Winter,madrugada,0,-0.3,44,0.0,1.7,1295,0,140
Winter,madrugada,0,-0.6,43,0.0,1.7,1316,0,93
Winter,madrugada,0,-0.7,45,0.0,1.4,1241,0,58
Winter,madrugada,0,-1.4,47,0.0,1.4,1301,0,61
Winter,madrugada,0,-1.8,49,0.0,1.4,1359,0,151
Winter,mañana,0,-2.0,49,0.0,1.9,1281,0,334
Winter,mañana,0,-2.5,50,0.0,1.0,1281,0,648
Winter,mañana,0,-2.1,42,0.17,1.3,1519,0,387
